<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
12/07/23,000000,4476.72,4488.34,4463.23,4472.16,45821
13/07/23,000000,4492.34,4517.38,4489.36,4510.04,45272
14/07/23,000000,4517.93,4527.76,4499.56,4505.42,46114
17/07/23,000000,4508.86,4532.85,4504.9,4522.79,45420
18/07/23,000000,4521.78,4562.3,4514.59,4554.98,46284
19/07/23,000000,4567.14,4578.43,4557.48,4565.72,46861
20/07/23,000000,4556.62,4564.74,4527.56,4534.87,46626
21/07/23,000000,4550.16,4555,4535.79,4536.34,46445
24/07/23,000000,4546.93,4563.35,4541.29,4554.64,45890
25/07/23,000000,4552.72,4580.62,4552.42,4567.46,45764
26/07/23,000000,4558.47,4582.47,4547.58,4566.75,46436
27/07/23,000000,4602.77,4607.07,4528.56,4537.41,46716
28/07/23,000000,4571.59,4590.16,4564.01,4582.23,46041
31/07/23,000000,4587,4594.22,4573.14,4588.96,45599
01/08/23,000000,4577.24,4584.62,4567.53,4576.73,45610
02/08/23,000000,4546.96,4546.96,4505.75,4513.39,46444
03/08/23,000000,4491.63,4519.49,4485.54,4501.89,46324
04/08/23,000000,4515,4540.34,4474.55,4478.03,46383
07/08/23,000000,4497.32,4519.84,4491.15,4518.44,46120
08/08/23,000000,4495.08,4503.31,4464.39,4499.38,46268
09/08/23,000000,4502.44,4502.44,4461.33,4467.71,46360
10/08/23,000000,4492.15,4527.37,4457.92,4468.83,46804
11/08/23,000000,4450.81,4476.23,4443.98,4464.05,46172
14/08/23,000000,4456.49,4490.33,4453.44,4489.72,45910
15/08/23,000000,4474.11,4475.56,4432.19,4437.86,46127
16/08/23,000000,4433.79,4449.95,4403.55,4404.33,46447
17/08/23,000000,4418.41,4421.17,4364.83,4370.36,46787
18/08/23,000000,4335.99,4381.82,4335.99,4369.71,46597
21/08/23,000000,4381.95,4407.55,4360.3,4399.77,46204
22/08/23,000000,4415.33,4418.59,4382.77,4387.55,46153
23/08/23,000000,4397.4,4443.18,4397.25,4436.01,45909
24/08/23,000000,4453.6,4458.3,4375.99,4376.31,46632
25/08/23,000000,4389.38,4418.46,4356.29,4405.71,46690
28/08/23,000000,4428.79,4439.56,4414.98,4433.31,46023
29/08/23,000000,4433.01,4500.14,4431.68,4497.63,45966
30/08/23,000000,4500.34,4521.65,4493.59,4514.87,45867
31/08/23,000000,4520.6,4532.26,4507.51,4507.66,45803
01/09/23,000000,4535.7,4541.25,4501.35,4515.77,45802
05/09/23,000000,4510.06,4514.29,4496.01,4496.83,45440
06/09/23,000000,4488.73,4488.73,4442.38,4465.48,46041
07/09/23,000000,4431.78,4457.81,4430.46,4451.14,46217
08/09/23,000000,4451.86,4473.53,4448.38,4457.49,45982
11/09/23,000000,4480.98,4490.77,4467.89,4487.46,45601
12/09/23,000000,4472.35,4487.11,4456.83,4461.9,45928
13/09/23,000000,4463.75,4479.39,4453.52,4467.44,46374
14/09/23,000000,4487.78,4511.99,4478.69,4505.1,45797
15/09/23,000000,4493.47,4493.7,4447.21,4450.32,45988
18/09/23,000000,4446.4,4466.36,4442.11,4453.53,45462
19/09/23,000000,4444.29,4449.85,4416.61,4443.95,45580
20/09/23,000000,4455.54,4461.03,4401.38,4402.2,45927
21/09/23,000000,4372.69,4375.7,4329.23,4330,46211
22/09/23,000000,4341.92,4357.4,4316.49,4320.06,46039
25/09/23,000000,4309.4,4338.48,4302.7,4337.44,45898
26/09/23,000000,4311.92,4313.01,4265.98,4273.53,46320
27/09/23,000000,4285.52,4292.07,4238.63,4274.51,46510
28/09/23,000000,4270.72,4317.27,4264.38,4299.7,46295
29/09/23,000000,4328.18,4333.15,4274.86,4288.05,46329
02/10/23,000000,4284.52,4300.58,4260.21,4288.39,46289
03/10/23,000000,4269.75,4281.15,4216.45,4229.45,45955
04/10/23,000000,4234.38,4268.5,4220.48,4263.75,46122
05/10/23,000000,4258.27,4267.13,4225.91,4258.19,46082
06/10/23,000000,4234.7,4324.1,4219.55,4308.5,46062
09/10/23,000000,4287.47,4341.73,4283.79,4335.66,45869
10/10/23,000000,4342.75,4385.46,4339.64,4358.24,45753
11/10/23,000000,4366.59,4378.43,4345.34,4376.95,45794
12/10/23,000000,4382.41,4385.85,4325.43,4349.61,46320
13/10/23,000000,4364.2,4377.1,4311.97,4327.78,46405
16/10/23,000000,4346.86,4383.33,4346.25,4373.63,45733
17/10/23,000000,4341.49,4393.57,4337.54,4373.2,46356
18/10/23,000000,4355.63,4364.2,4303.84,4314.6,46537
19/10/23,000000,4321.36,4339.54,4269.69,4278,46747
20/10/23,000000,4273.84,4276.56,4223.03,4224.16,46521
23/10/23,000000,4209.06,4255.84,4189.22,4217.04,46356
24/10/23,000000,4235.79,4259.38,4219.43,4247.68,46321
25/10/23,000000,4229.84,4229.84,4181.42,4186.77,46737
26/10/23,000000,4175.99,4183.6,4127.9,4137.23,46916
27/10/23,000000,4154.67,4156.7,4103.78,4117.37,46740
30/10/23,000000,4146.08,4177.47,4132.94,4166.82,46646
31/10/23,000000,4170.95,4195.55,4153.12,4193.8,46470
01/11/23,000000,4201.6,4245.64,4197.74,4237.86,46387
02/11/23,000000,4272.47,4319.72,4272.47,4317.78,46014
03/11/23,000000,4338.69,4373.62,4338.69,4358.34,45941
06/11/23,000000,4364.27,4372.21,4347.53,4365.98,45860
07/11/23,000000,4367.51,4386.26,4355.41,4378.38,45737
08/11/23,000000,4385.43,4391.2,4359.76,4382.78,45910
09/11/23,000000,4390.82,4393.4,4343.94,4347.35,46146
10/11/23,000000,4366.13,4418.03,4353.34,4415.24,45786
13/11/23,000000,4402.78,4421.76,4393.82,4411.55,45408
14/11/23,000000,4458.97,4508.67,4458.97,4495.7,45768
15/11/23,000000,4508,4521.17,4495.31,4502.88,46002
16/11/23,000000,4496.83,4511.99,4487.83,4508.24,45901
17/11/23,000000,4512.48,4520.12,4499.66,4514.02,45454
20/11/23,000000,4510.38,4557.11,4510.38,4547.38,45531
21/11/23,000000,4538.06,4542.14,4525.51,4538.19,45501
22/11/23,000000,4554.98,4568.43,4545.05,4556.62,45591
24/11/23,000000,4555.75,4560.31,4552.8,4559.34,25122
27/11/23,000000,4553.55,4560.52,4546.32,4550.43,44739
28/11/23,000000,4545.5,4568.14,4540.51,4554.89,45459
29/11/23,000000,4575.64,4587.64,4547.15,4550.58,45470
30/11/23,000000,4557.16,4569.81,4537.24,4567.8,45666
01/12/23,000000,4559.43,4599.39,4554.71,4594.63,45799
04/12/23,000000,4559.51,4572.37,4546.72,4569.78,45436
05/12/23,000000,4555.63,4578.56,4551.68,4567.18,45820
06/12/23,000000,4588.8,4590.74,4546.5,4549.34,45593
07/12/23,000000,4570.83,4590.92,4565.22,4585.59,45605
