<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
11/12/23,000000,1985,2016,1985,2016,3
12/12/23,000000,2044,2044,2002,2002,3
13/12/23,000000,2011.5,2011.5,1999,1999,3
14/12/23,000000,2034.5,2037,2034.5,2037,4
15/12/23,000000,2055,2055.5,2046.25,2046.25,4
18/12/23,000000,2052,2052,2018.75,2018.75,4
19/12/23,000000,2026,2030,2021.5,2029.25,5
20/12/23,000000,2044.5,2048,2044.5,2048,5
21/12/23,000000,2046.5,2046.5,2035.75,2035.75,3
22/12/23,000000,2038,2040,2030,2030,5
27/12/23,000000,2046,2051.5,2046,2051.5,3
28/12/23,000000,2053,2054,2052.75,2052.75,5
29/12/23,000000,2032,2034.5,2030.5,2034.5,5
02/01/24,000000,2032,2033,2025.25,2025.25,6
03/01/24,000000,2025,2025,2008.75,2008.75,5
04/01/24,000000,2012,2012,2007.11,2007.11,3
05/01/24,000000,2024,2042.25,2024,2042.25,5
08/01/24,000000,2030,2030,2029.75,2029.75,3
09/01/24,000000,2032,2033,2019.5,2019.5,4
10/01/24,000000,2050.5,2055,2050.5,2055,3
11/01/24,000000,2095,2095,2067.2,2067.2,4
12/01/24,000000,2058,2064.57,2058,2064.57,4
15/01/24,000000,2078,2085.49,2078,2085.49,4
16/01/24,000000,2086,2086,2077.75,2077.75,3
17/01/24,000000,2030.5,2033,2030.5,2030.52,5
18/01/24,000000,2030,2050.5,2030,2050.5,4
19/01/24,000000,2077,2091.5,2077,2091.5,5
22/01/24,000000,2087,2115.59,2087,2115.59,4
23/01/24,000000,2161.5,2166.62,2161.5,2166.62,4
24/01/24,000000,2175,2175.5,2172.12,2172.12,4
25/01/24,000000,2169,2169,2159.84,2159.84,3
26/01/24,000000,2148,2173.81,2148,2173.81,5
29/01/24,000000,2179,2182.27,2179,2182.27,5
30/01/24,000000,2165,2183.09,2165,2183.09,3
31/01/24,000000,2172.5,2173,2166.96,2166.96,7
01/02/24,000000,2162,2162,2150,2158.09,5
02/02/24,000000,2145.5,2145.71,2145.5,2145.71,3
05/02/24,000000,2130,2132,2112.72,2112.72,5
06/02/24,000000,2118.5,2119,2116.8,2116.8,5
07/02/24,000000,2118,2119.5,2103.11,2103.11,5
08/02/24,000000,2099,2099,2055.75,2055.75,3
09/02/24,000000,2048,2050,2042.16,2042.16,8
12/02/24,000000,2053,2053,2027.85,2027.85,3
13/02/24,000000,2018,2018,2008.2,2008.2,4
14/02/24,000000,2022,2030.67,2022,2030.67,4
15/02/24,000000,2056,2057,2054.57,2054.57,4
16/02/24,000000,2062,2073.47,2062,2073.47,3
19/02/24,000000,2044,2044.5,2044,2044.45,4
20/02/24,000000,2041,2056.57,2041,2056.57,3
21/02/24,000000,2082,2088.06,2082,2088.06,3
22/02/24,000000,2085,2097.79,2085,2097.79,4
23/02/24,000000,2097,2106.39,2097,2106.39,5
26/02/24,000000,2111,2111,2109.51,2109.51,3
27/02/24,000000,2113,2113,2098.42,2098.42,3
28/02/24,000000,2090,2090,2088.34,2088.34,3
29/02/24,000000,2067,2067,2057.75,2057.75,4
01/03/24,000000,2050,2052.5,2026.01,2026.01,6
04/03/24,000000,2026,2036.55,2026,2036.55,6
05/03/24,000000,2023,2035.79,2023,2035.79,4
06/03/24,000000,2060,2063.65,2060,2063.65,3
07/03/24,000000,2107,2107.55,2107,2107.55,3
08/03/24,000000,2121.5,2125,2096.94,2096.94,6
11/03/24,000000,2113,2115.38,2113,2115.38,3
12/03/24,000000,2135,2137.7,2134,2137.7,5
